"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.001,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121975,94.498,-21.111,892.433
0.002,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0,0,0,172.018,-2.98923,-0.0121918,94.498,-21.111,892.433
0.003,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0,0,-0.00981,172.01,-2.98587,0.030508,94.496,-21.1215,892.442
0.004,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.00649277,-0.0101578,-0.00160462,172.01,-2.98597,0.0923576,94.4911,-21.1312,892.477
0.005,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.0303597,-0.0442568,0.0501232,172.01,-2.98602,0.15333,94.4853,-21.1405,892.514
0.006,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.0528512,-0.0989593,0.111819,172.015,-2.9885,0.222406,94.4782,-21.1483,892.552
0.007,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.073089,-0.170135,0.186394,172.025,-2.9934,0.300892,94.4699,-21.1543,892.593
0.008,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.0885805,-0.253569,0.272869,172.043,-3.02241,0.374233,94.4614,-21.1604,892.624
0.009,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.0919651,-0.346697,0.356769,172.068,-3.07132,0.450069,94.4528,-21.1663,892.644
0.01,-0.192371,-0.00767229,0.330358,0.0663297,0.0622159,-0.104335,0.05763,-0.100371,-0.100712,0.327427,0.0230001,-0.182807,2.59108e-08,-3.06183e-09,0.3,-0.3,0.0837858,-0.450223,0.44099,172.101,-3.13773,0.527493,94.4441,-21.1722,892.655
