"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
0.001,93.3686,-21.5834,0,0,0,0,0
0.002,92.8129,-24.8028,0,0,0,0,0
0.003,91.951,-24.6476,0,0,0,0,0
0.004,91.734,-24.5833,0,0,0,0,0
0.005,91.3483,-24.109,0,0,0,0,0
0.006,90.9209,-23.5002,0,0,0,0,0
0.007,90.8435,-23.3438,0,0,0,0,0
0.008,90.7352,-23.1638,0,0,0,0,0
0.009,90.6469,-22.9955,0,0,0,0,0
0.01,90.5763,-22.8412,0,0,0,0,0
0.011,90.5141,-22.6983,0,0,0,0,0
0.012,90.4588,-22.5642,0,0,0,0,0
0.013,90.4094,-22.4367,0,0,0,0,0
0.014,90.3651,-22.3147,0,0,0,0,0
0.015,90.3252,-22.1973,0,0,0,0,0
0.016,90.2892,-22.0841,0,0,0,0,0
0.017,90.2568,-21.9748,0,0,0,0,0
0.018,90.2274,-21.8693,0,0,0,0,0
0.019,90.2007,-21.7676,0,0,0,0,0
0.02,90.1764,-21.6694,0,0,0,0,0
0.021,90.1541,-21.5749,0,0,0,0,0
0.022,90.1335,-21.4838,0,0,0,0,0
0.023,90.1143,-21.396,0,0,0,0,0
0.024,90.0963,-21.3115,0,0,0,0,0
0.025,90.0792,-21.2301,0,0,0,0,0
0.026,90.0668,-21.1521,0,0,0,0,0
0.027,90.0545,-21.0768,0,0,0,0,0
0.028,90.042,-21.0042,0,0,0,0,0
0.029,90.0294,-20.9341,0,0,0,0,0
0.03,90.0166,-20.8665,0,0,0,0,0
0.031,90.0034,-20.8014,0,0,0,0,0
0.032,89.99,-20.7387,0,0,0,0,0
0.033,89.9764,-20.6784,0,0,0,0,0
0.034,89.9624,-20.6205,0,0,0,0,0
0.035,89.9482,-20.565,0,0,0,0,0
0.036,89.9337,-20.512,0,0,0,0,0
0.037,89.919,-20.4615,0,0,0,0,0
0.038,89.9042,-20.4135,0,0,0,0,0
0.039,89.8892,-20.3681,0,0,0,0,0
0.04,89.8741,-20.3254,0,0,0,0,0
0.041,89.8588,-20.2853,0,0,0,0,0
0.042,89.8435,-20.248,0,0,0,0,0
0.043,89.8282,-20.2135,0,0,0,0,0
0.044,89.8129,-20.1817,0,0,0,0,0
0.045,89.7977,-20.1529,0,0,0,0,0
0.046,89.7825,-20.1269,0,0,0,0,0
0.047,89.7674,-20.1038,0,0,0,0,0
0.048,89.7524,-20.0837,0,0,0,0,0
0.049,89.7375,-20.0665,0,0,0,0,0
0.05,89.7228,-20.0522,0,0,0,0,0
0.051,89.7082,-20.041,0,0,0,0,0
0.052,89.6938,-20.0327,0,0,0,0,0
0.053,89.6796,-20.0273,0,0,0,0,0
0.054,89.6657,-20.025,0,0,0,0,0
0.055,89.652,-20.0256,0,0,0,0,0
0.056,89.6386,-20.0292,0,0,0,0,0
0.057,89.6254,-20.0358,0,0,0,0,0
0.058,89.6125,-20.0453,0,0,0,0,0
0.059,89.6,-20.0578,0,0,0,0,0
0.06,89.5878,-20.0733,0,0,0,0,0
0.061,89.5758,-20.0917,0,0,0,0,0
0.062,89.5642,-20.1131,0,0,0,0,0
0.063,89.5531,-20.1374,0,0,0,0,0
0.064,89.5423,-20.1647,0,0,0,0,0
0.065,89.5319,-20.1949,0,0,0,0,0
0.066,89.5219,-20.2281,0,0,0,0,0
0.067,89.5123,-20.2643,0,0,0,0,0
0.068,89.5032,-20.3034,0,0,0,0,0
0.069,89.4945,-20.3455,0,0,0,0,0
0.07,89.4863,-20.3906,0,0,0,0,0
0.071,86.2601,-19.2327,0,0,0,0,0
0.072,84.5263,-18.0629,0,0,0,0,0
0.073,83.4809,-18.4432,0,0,0,0,0
0.074,78.0963,-11.7385,0,0,0,0,0
0.075,77.7385,-11.2818,0,0,0,0,0
0.076,77.3111,-10.9656,0,0,0,0,0
0.077,76.2249,-11.0043,0,0,0,0,0
0.078,75.0387,-11.1442,0,0,0,0,0
0.079,77.1935,-8.59626,0,0,0,0,0
0.08,76.5959,-8.77992,0,0,0,0,0
0.081,76.0655,-9.25052,0,0,0,0,0
0.082,74.8685,-9.55215,0,0,0,0,0
0.083,73.7765,-9.87305,0,0,0,0,0
0.084,72.4456,-10.1695,0,0,0,0,0
0.085,71.0404,-10.4641,0,0,0,0,0
0.086,69.5909,-10.7556,0,0,0,0,0
0.087,68.1082,-11.041,0,0,0,0,0
0.088,66.6495,-11.486,0,0,0,0,0
0.089,65.2231,-12.0195,0,0,0,0,0
0.09,63.8185,-12.5634,0,0,0,0,0
0.091,62.437,-13.1403,0,0,0,0,0
0.092,61.0744,-13.9014,0,0,0,0,0
0.093,59.7316,-14.9214,0,0,0,0,0
0.094,58.4054,-16.0029,0,0,0,0,0
0.095,57.055,-17.1655,0,0,0,0,0
0.096,55.6485,-18.3098,0,0,0,0,0
0.097,54.2439,-19.4569,0,0,0,0,0
0.098,52.8482,-20.6188,0,0,0,0,0
0.099,51.4847,-21.7993,0,0,0,0,0
0.1,50.1378,-22.9961,0,0,0,0,0
0.101,48.7989,-24.2042,0,0,0,0,0
0.102,47.4645,-25.4208,0,0,0,0,0
0.103,47.4494,-26.7628,0,0,0,0,0
0.104,50.5611,-31.1819,0,0,0,0,0
0.105,51.3648,-33.5178,0,0,0,0,0
0.106,52.3306,-34.5025,0,0,0,0,0
0.107,53.3106,-34.9613,0,0,0,0,0
0.108,53.7791,-35.3455,0,0,0,0,0
0.109,54.0065,-35.2184,0,0,0,0,0
0.11,54.0536,-34.822,0,0,0,0,0
0.111,54.0921,-34.4543,0,0,0,0,0
0.112,54.1441,-34.1054,0,0,0,0,0
0.113,54.2172,-33.7605,0,0,0,0,0
0.114,54.3134,-33.4228,0,0,0,0,0
0.115,54.4313,-33.0967,0,0,0,0,0
0.116,54.5681,-32.7849,0,0,0,0,0
0.117,54.7202,-32.488,0,0,0,0,0
0.118,54.8839,-32.2048,0,0,0,0,0
0.119,55.0556,-31.9343,0,0,0,0,0
0.12,55.2314,-31.6747,0,0,0,0,0
0.121,55.4067,-31.4243,0,0,0,0,0
0.122,55.5725,-31.1852,0,0,0,0,0
0.123,55.7442,-30.9448,0,0,0,0,0
0.124,55.8987,-30.7122,0,0,0,0,0
0.125,56.0512,-30.4736,0,0,0,0,0
0.126,56.1903,-30.2352,0,0,0,0,0
0.127,56.3081,-30.0005,0,0,0,0,0
0.128,56.4126,-29.7616,0,0,0,0,0
0.129,56.5072,-29.5238,0,0,0,0,0
0.13,56.5992,-29.2524,0,0,0,0,0
0.131,56.6857,-28.9788,0,0,0,0,0
0.132,56.758,-28.7021,0,0,0,0,0
0.133,57.3767,-28.4086,0,0,0,0,0
0.134,57.6069,-28.175,0,0,0,0,0
0.135,57.9002,-27.9343,0,0,0,0,0
0.136,58.2228,-27.6821,0,0,0,0,0
0.137,58.5625,-27.4201,0,0,0,0,0
0.138,58.9118,-27.1505,0,0,0,0,0
0.139,59.262,-26.8864,0,0,0,0,0
0.14,59.6105,-26.5868,0,0,0,0,0
0.141,59.9666,-26.2845,0,0,0,0,0
0.142,60.3273,-25.979,0,0,0,0,0
0.143,60.6891,-25.6706,0,0,0,0,0
0.144,61.0497,-25.3598,0,0,0,0,0
0.145,61.4075,-25.0469,0,0,0,0,0
0.146,61.7612,-24.7319,0,0,0,0,0
0.147,62.11,-24.4147,0,0,0,0,0
0.148,62.4534,-24.0949,0,0,0,0,0
0.149,62.7906,-23.7721,0,0,0,0,0
0.15,63.1205,-23.4456,0,0,0,0,0
0.151,63.4416,-23.1172,0,0,0,0,0
0.152,63.7606,-22.7852,0,0,0,0,0
0.153,64.0773,-22.4477,0,0,0,0,0
0.154,64.3826,-22.107,0,0,0,0,0
0.155,64.6996,-21.7659,0,0,0,0,0
0.156,65.0008,-21.4202,0,0,0,0,0
0.157,65.303,-21.072,0,0,0,0,0
0.158,65.6051,-20.7211,0,0,0,0,0
0.159,65.9084,-20.366,0,0,0,0,0
0.16,66.2072,-20.0118,0,0,0,0,0
0.161,66.5091,-19.6562,0,0,0,0,0
0.162,66.8141,-19.2973,0,0,0,0,0
0.163,67.118,-18.9381,0,0,0,0,0
