"Timestamp","Actual_LeftTorqueX","Actual_LeftTorqueY","Actual_LeftTorqueZ","Target_LeftTorqueX","Target_LeftTorqueY","Target_LeftTorqueZ","Actual_RightTorqueX","Actual_RightTorqueY","Actual_RightTorqueZ","Target_RightTorqueX","Target_RightTorqueY","Target_RightTorqueZ","Actual_LeftForceX","Actual_LeftForceY","Actual_LeftForceZ","Target_LeftForceX","Target_LeftForceY","Target_LeftForceZ","Actual_RightForceX","Actual_RightForceY","Actual_RightForceZ","Target_RightForceX","Target_RightForceY","Target_RightForceZ"
0.001,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0670204,-0.369717,0.0718657,0,0,0,155.071,-67.285,14.9042,0,0,0,8.03669,-9.89968,19.3331,0,0,0,-136.009,-749.163,1350.08,0,0,0
0.003,0.539492,-0.803926,0.156275,0,0,0,159.91,-136.48,28.3184,0,0,0,21.1752,-14.9411,58.8348,0,0,0,-219.247,34.8945,2572.57,0,0,0
0.004,0.158506,-2.17439,0.422702,0,0,0,154.234,-55.3075,12.7075,0,0,0,15.3351,-19.3194,52.6036,0,0,0,-69.1614,-111.052,1025.95,0,0,0
0.005,-0.391145,-2.36442,0.459714,0,0,0,153.789,-48.9564,11.5055,0,0,0,0.626878,-14.9492,24.8098,0,0,0,-111.609,-35.5531,954.73,0,0,0
0.006,-0.492217,-2.91051,0.566087,0,0,0,153.784,-48.8771,11.5054,0,0,0,-0.311061,-10.1119,27.8198,0,0,0,-115.999,-24.447,948.226,0,0,0
0.007,-0.386302,-3.39531,0.660732,0,0,0,153.671,-47.2629,11.1992,0,0,0,-2.11333,-5.41714,27.8165,0,0,0,-125.062,-12.4703,941.342,0,0,0
0.008,-0.202448,-3.56129,0.69351,0,0,0,101.634,-29.1215,6.99431,0,0,0,-6.97269,-0.76435,22.3173,0,0,0,-98.2204,24.9634,605.202,0,0,0
0.009,-0.0171769,-3.30176,0.643506,0,0,0,17.0762,-0.996495,0.422712,0,0,0,-13.1112,2.78562,10.82,0,0,0,-52.777,59.1766,74.2648,0,0,0
0.01,0.206279,-3.00198,0.585661,0,0,0,0.112439,2.67729,-0.515214,0,0,0,-15.1635,3.5256,3.82804,0,0,0,-29.0411,10.3753,-5.94331,0,0,0
0.011,0.539354,-2.53759,0.495663,0,0,0,0.588855,2.48575,-0.471903,0,0,0,-13.7184,2.31175,4.84006,0,0,0,-27.052,14.4158,-6.37708,0,0,0
0.012,0.984444,-2.06394,0.403739,0,0,0,3.73028,1.30214,-0.201108,0,0,0,-11.5137,0.555949,5.54539,0,0,0,-25.6267,22.6544,7.1981,0,0,0
0.013,1.50572,-1.62531,0.318503,0,0,0,13.758,-1.19872,0.417491,0,0,0,-9.09173,-0.790457,6.68476,0,0,0,-37.5448,50.7745,51.1671,0,0,0
0.014,2.13801,-1.27861,0.251103,0,0,0,22.1314,-3.18993,0.916134,0,0,0,-7.15026,-1.07258,7.99535,0,0,0,-49.0973,74.4591,88.3948,0,0,0
0.015,2.82445,-0.989229,0.194784,0,0,0,29.0085,-4.82606,1.32687,0,0,0,-6.2184,-0.311367,8.80047,0,0,0,-58.6277,94.4694,118.754,0,0,0
0.016,3.51716,-0.743953,0.146967,0,0,0,37.3238,-9.07582,2.26485,0,0,0,-5.59197,0.473849,9.98396,0,0,0,-55.7032,47.453,196.691,0,0,0
0.017,4.07479,-0.496023,0.0984363,0,0,0,47.8624,-13.8624,3.33999,0,0,0,-4.69018,0.444603,12.1555,0,0,0,-52.1823,10.8933,282.469,0,0,0
0.018,4.56402,-0.256427,0.0513526,0,0,0,55.5167,-16.6926,3.99933,0,0,0,-3.74557,-0.0334927,13.7275,0,0,0,-54.7294,1.29227,334.961,0,0,0
0.019,4.93527,-0.0790995,0.0163743,0,0,0,60.3557,-18.5107,4.42606,0,0,0,-3.15154,-0.538774,14.642,0,0,0,-56.1002,-5.20297,368.287,0,0,0
0.02,5.19394,0.0488605,-0.00898582,0,0,0,63.7978,-19.7913,4.73109,0,0,0,-2.76783,-0.995658,15.1894,0,0,0,-57.4945,-10.0919,392.078,0,0,0
0.021,5.36989,0.139948,-0.0271465,0,0,0,66.2957,-20.6914,4.95074,0,0,0,-2.51799,-1.35399,15.5421,0,0,0,-59.0364,-13.4533,409.189,0,0,0
0.022,5.4387,0.196745,-0.0385766,0,0,0,68.4168,-21.4545,5.14001,0,0,0,-2.39774,-1.61284,15.8469,0,0,0,-60.4749,-16.6503,423.915,0,0,0
0.023,5.42744,0.223954,-0.0441628,0,0,0,70.2095,-22.0882,5.30091,0,0,0,-2.3507,-1.79325,16.0847,0,0,0,-61.9303,-19.4796,436.428,0,0,0
0.024,5.34893,0.225967,-0.0447367,0,0,0,71.7245,-22.6145,5.43829,0,0,0,-2.3632,-1.9156,16.2805,0,0,0,-63.369,-22.0092,447.077,0,0,0
0.025,5.21545,0.206841,-0.0410701,0,0,0,73.0163,-23.0552,5.5571,0,0,0,-2.4188,-1.99792,16.4431,0,0,0,-64.7742,-24.3054,456.231,0,0,0
0.026,5.03841,0.170361,-0.033886,0,0,0,74.1295,-23.4288,5.66143,0,0,0,-2.503,-2.05631,16.5809,0,0,0,-66.1328,-26.4226,464.194,0,0,0
0.027,4.82807,0.120035,-0.0238591,0,0,0,75.098,-23.7492,5.75442,0,0,0,-2.60384,-2.10377,16.6998,0,0,0,-67.4323,-28.4016,471.197,0,0,0
